,1502148387,2756370435,3176949924,2954818895,3558595220,3385530403,4160600163,1914047609,1759921803,1392494589,3488938021,2321806454,3622395341,686062913,2933680667,2227115160,2607425063,1192677924,3689578949,3280145754,3129336168,3358969264,2783225985,3631634526,3920050901,3565439934,4006061010,620173462,2636031260,4145560874,3615436226,2191062999,4276811682,2738364134,1056914775,321137469,3437618638,2977088499,485544571,2528002948,4036039428,214196709,441205562,202774958,2496646668,1422274723,2825726158,40526029,2035516552,1778685298,1507493681,766932368,399753662,1042824172,3073407383,2515222356,3244698068,445286775,2083075156,2063853279,1919708121,1966390989,7214742,2676015080,654303021,2500501415,395245054,3729892966,3341419181,4037141250,927765794,2388840311,3725435867,336597329,2565202574,382550638,413943961,2807742179,3811751592,2093451317,4071317805,139060332,2394078607,3506540866,2444065701,4037611794,1019054022,2304728238,584419852,2718647288,1588362727,69728726,1404972461,2257681222,2758904259,3315679999,2411179187,1526384679,4213870869,62699417,2301915325,3840941438,1915606498,139803936,2807410227,2237630737,869067415,2762884929,1357353590,2586556446,974695197,1856910577,184649436,12126948,1302542552,216927394
1392494589,10,12,12,24,17,14,11,10,14,,19,10,12,13,51,13,17,11,27,12,9,16,13,11,14,11,12,48,11,11,14,14,15,14,12,9,14,13,14,64,17,20,14,15,32,22,15,16,11,11,11,15,21,12,12,12,14,33,41,18,11,16,16,47,14,12,13,9,12,11,17,23,10,27,42,16,22,12,10,31,19,13,19,24,11,15,13,21,13,13,9,14,15,14,13,11,11,10,16,22,12,12,12,17,32,10,11,11,22,20,14,13,17,18,11,11
3488938021,13,14,14,28,21,15,15,14,12,14,,14,14,14,20,16,20,14,17,13,14,13,14,18,15,13,17,19,15,17,16,13,15,16,14,13,14,17,20,19,15,20,13,14,23,22,13,13,19,16,15,14,21,16,16,17,12,18,19,16,13,12,14,18,15,14,14,13,14,15,23,21,13,28,18,21,17,15,17,26,20,15,17,27,16,23,13,20,13,15,14,13,15,15,15,14,14,14,16,13,18,13,21,21,28,16,11,15,21,19,14,13,13,22,12,15
2321806454,27,29,27,20,26,26,24,37,26,10,18,,30,26,15,27,22,28,16,26,34,25,27,28,28,25,26,15,25,25,31,28,24,26,27,26,25,27,17,14,16,25,28,32,14,17,23,26,32,29,33,28,19,32,32,26,27,17,17,21,29,19,31,12,26,26,29,26,19,27,24,21,27,13,12,23,12,25,26,12,18,26,19,12,30,23,26,12,28,27,23,26,28,27,27,27,33,27,27,14,25,26,33,29,14,25,25,24,13,18,24,28,22,15,26,30
3622395341,27,30,29,15,24,30,23,32,26,12,19,31,,28,11,27,24,29,17,23,33,26,30,28,29,26,28,13,27,27,27,30,27,28,31,28,26,25,18,13,18,20,29,33,13,17,24,25,32,32,24,32,19,31,26,25,31,19,14,22,39,23,31,12,27,28,31,29,19,26,25,24,29,13,13,24,13,24,27,13,15,29,20,12,24,23,28,13,32,29,23,29,31,26,30,25,27,30,27,15,28,25,32,24,15,27,25,26,15,20,25,31,24,16,25,25
686062913,27,31,25,14,23,28,26,26,30,12,17,24,25,,10,26,21,27,17,22,30,27,35,24,26,24,29,12,29,27,25,34,28,37,35,25,26,25,15,13,16,18,32,31,13,17,27,27,31,27,23,29,17,29,25,28,32,19,13,23,33,21,31,13,31,33,36,25,18,24,24,25,22,12,12,22,13,25,27,12,13,32,20,11,25,21,27,9,30,34,20,26,29,24,38,24,29,23,26,18,23,22,29,22,15,27,24,22,14,20,29,31,25,14,22,29
2933680667,18,19,17,58,34,18,19,22,17,77,40,24,17,18,,19,27,17,56,19,20,19,18,20,19,16,18,133,18,18,21,18,18,19,18,17,18,21,33,171,28,43,18,19,73,45,18,18,23,18,24,18,42,20,22,20,16,58,113,23,15,22,18,114,19,17,19,16,20,19,33,36,18,75,108,29,45,19,18,78,36,18,26,59,23,28,17,43,17,18,14,19,19,19,18,19,21,18,19,27,18,18,24,37,95,17,16,18,37,29,19,17,18,36,18,21
2227115160,23,24,25,15,23,26,23,25,23,11,19,24,23,25,11,,23,23,17,22,24,25,25,27,27,22,24,14,23,24,27,25,24,26,25,22,24,26,16,13,16,19,24,28,14,16,23,24,29,27,24,27,18,23,26,25,26,18,13,22,24,20,28,13,26,25,26,21,18,24,26,24,23,13,12,24,12,23,25,12,14,26,20,12,23,24,24,9,24,28,20,26,27,26,26,24,24,22,26,16,26,23,31,23,15,23,21,23,14,19,24,24,24,16,23,23
2607425063,15,17,17,16,22,18,17,16,15,12,19,16,17,17,12,19,,16,15,15,16,17,17,21,18,15,19,15,17,18,18,16,18,19,17,16,17,20,18,15,15,19,16,18,14,15,16,16,21,18,18,17,17,18,18,19,16,17,14,19,15,14,17,13,18,16,17,15,17,17,23,22,16,14,13,23,12,17,19,13,14,18,19,13,18,24,16,11,16,17,16,17,18,17,17,16,17,16,20,14,20,15,23,22,16,17,13,17,12,17,17,16,17,16,15,17
1192677924,32,31,26,15,26,27,27,29,30,11,18,29,28,30,11,26,22,,16,24,35,23,30,28,28,25,31,14,33,30,31,34,28,31,34,28,26,28,16,13,16,20,30,31,12,16,27,25,36,29,25,27,19,31,25,32,27,17,14,20,32,19,28,11,30,29,34,30,20,28,24,21,27,13,11,25,12,30,29,12,14,30,19,12,27,25,30,12,37,32,22,26,28,27,31,27,31,27,26,14,25,28,32,24,14,29,25,27,14,20,27,32,23,16,23,28
3689578949,16,18,19,25,23,21,17,17,17,27,24,18,18,20,38,20,22,17,,17,17,21,21,20,19,18,18,36,17,17,18,19,19,22,18,15,18,19,21,46,19,23,18,22,29,24,18,19,19,19,17,21,24,18,18,19,21,29,34,23,19,18,22,34,20,19,18,13,17,16,26,28,15,26,41,23,20,16,18,26,19,21,23,23,18,24,17,19,20,19,15,18,21,17,20,16,17,16,20,21,19,17,21,23,30,17,15,16,21,21,18,17,20,21,16,17
3280145754,27,27,27,16,24,27,28,26,29,12,19,29,24,27,13,27,23,27,18,,26,27,27,28,28,27,28,16,26,27,28,27,28,28,27,22,25,27,18,16,16,21,29,28,15,17,25,29,28,27,27,28,20,26,28,29,26,18,15,22,24,20,30,15,28,26,28,21,21,27,26,24,23,14,12,25,13,31,27,12,15,27,21,13,27,25,27,10,24,27,24,26,26,27,26,29,28,24,29,17,28,27,29,25,15,26,25,24,14,19,26,28,25,17,24,28
